CHANGETARIFFS,Sanity_PLM021,IN_MTARIFF_BATCH_09122020114650.csv,595fb8189e272e2c594acf7b41eaabf2
ID,Cliente,Contracto,Oferta,Tarifa Nueva,Cargo Nuevo,FechaCiclo,OrderEstado,DescEstado
1,93000000132708,CONTR0000102599,PO_MovPosPlanClaro36000Seg,id=1|30058221|TariffSMSLDINet=284.87395:TariffSMSOffnetNet=249:TariffSMSOnnetNet=118|statusCode=EXITO|;id=2|30058223|TariffVoiceCobro113Net=694.117647:TariffVoiceCobro195Net=526.890756:TariffVoiceFixedNet=2.61:TariffVoiceLDIZone1Net=419327731=6:TariffVoiceLDIZone2Net=961.344538:TariffVoiceLDIZone3Net=1118.48739:TariffVoiceLDIZone4Net=11697.478992:TariffVoiceOffnetNet=2.61:TariffVoiceOnnetNet=2.61|statusCode=EXITO|,id=1|POP_MovPosVozREC=79013.41|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
2,93000000132728,CONTR0000102620,PO_TvPosPlanHfcSuperior,,id=2|POP_MovPosVozREC=109747.90|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
3,93000000132780,CONTR0000102689,PO_TvPosPlanHfcDigital,,id=3|POP_MovPosDatosREC=101596.64|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
4,93000000132781,CONTR0000102690,PO_TvPosPlanHfcDigital,,id=4|POP_MovPosDatosREC=101596.64|statusCode=Contract.ProductIdNotFound|statusDescription=Error CS|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
5,93000000132783,CONTR0000102692,PO_TvPosPlanHfcDigitalPremium,,id=5|POP_MovPosDatosREC=46386.55|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
6,93000000132784,CONTR0000102693,PO_TvPosPlanHfcDigitalPlus,,id=6|POP_MovPosDatosREC=48739.50|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
7,93000000132786,CONTR0000102695,PO_MovPosPlanIntMovilA004,,id=7|POP_MovPosDatosREC=60616.03|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
8,93000000132787,CONTR0000102696,PO_TvPosPlanHfcDigital,,id=8|POP_MovPosDatosREC=31512.61|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
9,93000000132788,CONTR0000102697,PO_MovPosPlanIntMovilA006,id=3|30059188|TariffPostBasicDataNet=0.01|statusCode=100|statusDescription=Error CS;id=4|30059190|TariffSMSLDINet=284.87395:TariffSMSOffnetNet=249:TariffSMSOnnetNet=118|statusCode=EXITO|;id=5|30059191|TariffVoiceCobro113Net=694.117647:TariffVoiceCobro195Net=526.890756|statusCode=EXITO|,id=9|POP_MovPosDatosREC=161591.63|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
10,93000000132792,CONTR0000102701,PO_MovPosPlanIntMovilA006,id=6|30059188|TariffPostBasicDataNet=0.01|statusCode=EXITO|;id=7|30059190|TariffSMSLDINet=284.87395:TariffSMSOffnetNet=249:TariffSMSOnnetNet=118|statusCode=EXITO|;id=8|30059191|TariffVoiceCobro113Net=694.117647:TariffVoiceCobro195Net=526.890756|statusCode=EXITO|,id=10|POP_MovPosDatosREC=161591.63|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
11,93000000132793,CONTR0000102702,PO_TvPosPlanHfcSuperior,,id=11|POP_MovPosDatosREC=44117.65|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
12,93000000132795,CONTR0000102704,PO_MovPosPlanIntMovilA006,,id=12|POP_MovPosDatosREC=161591.63|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
13,93000000132796,CONTR0000102705,PO_TvPosPlanHfcSuperior,,id=13|POP_MovPosDatosREC=44117.65|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
14,93000000132797,CONTR0000102706,PO_MovPosPlanNavegalaA024,,id=14|POP_MovPosDatosREC=34617.60|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
15,93000000132799,CONTR0000102708,PO_TvPosPlanHfcSuperior,,id=15|POP_MovPosDatosREC=44117.65|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
16,93000000132800,CONTR0000102709,PO_TvPosPlanHfcDigital,,id=16|POP_MovPosDatosREC=50504.20|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
17,93000000132807,CONTR0000102716,PO_TvPosPlanHfcDigitalPlus,,id=17|POP_MovPosDatosREC=38151.26|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
18,93000000132858,CONTR0000102753,PO_MovPosPlanIntMovilA004,id=10|30059197|TariffVoiceCobro113Net=694.117647:TariffVoiceCobro195Net=526.890756;id=11|30059196|TariffSMSLDINet=284.87395:TariffSMSOffnetNet=249:TariffSMSOnnetNet=118|statusCode=EXITO|;id=9|30059194|TariffPostBasicDataNet=0.02|statusCode=100|statusDescription=Error CS,id=18|POP_MovPosDatosREC=60616.03|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
19,93000000132859,CONTR0000102754,PO_TvPosPlanHfcDigital,,id=19|POP_MovPosDatosREC=101596.64|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
20,93000000132860,CONTR0000102755,PO_TvPosPlanHfcDigital,,id=20|POP_MovPosDatosREC=50504.20|statusCode=EXITO|,2020-12-21'T'09:19:52.431-0500,COMPLETED,
